Field,Type,Null,Key,Default,Extra
"Activity Period",int,YES,,NULL,
"Activity Period Start Date",text,YES,,NULL,
"Operating Airline",text,YES,,NULL,
"Operating Airline IATA Code",text,YES,,NULL,
"Published Airline",text,YES,,NULL,
"Published Airline IATA Code",text,YES,,NULL,
"GEO Summary",text,YES,,NULL,
"GEO Region",text,YES,,NULL,
"Activity Type Code",text,YES,,NULL,
"Price Category Code",text,YES,,NULL,
Terminal,text,YES,,NULL,
"Boarding Area",text,YES,,NULL,
"Passenger Count",int,YES,,NULL,
data_as_of,text,YES,,NULL,
data_loaded_at,text,YES,,NULL,
